Category: All categories

Week,PlayStation 5: (United States)
2020-01-05,4
2020-01-12,3
2020-01-19,3
2020-01-26,2
2020-02-02,4
2020-02-09,3
2020-02-16,2
2020-02-23,3
2020-03-01,3
2020-03-08,2
2020-03-15,5
2020-03-22,3
2020-03-29,3
2020-04-05,7
2020-04-12,5
2020-04-19,4
2020-04-26,4
2020-05-03,4
2020-05-10,5
2020-05-17,6
2020-05-24,5
2020-05-31,5
2020-06-07,34
2020-06-14,13
2020-06-21,5
2020-06-28,4
2020-07-05,5
2020-07-12,6
2020-07-19,5
2020-07-26,4
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,8
2020-08-30,7
2020-09-06,10
2020-09-13,42
2020-09-20,19
2020-09-27,9
2020-10-04,9
2020-10-11,10
2020-10-18,11
2020-10-25,14
2020-11-01,16
2020-11-08,100
2020-11-15,58
2020-11-22,70
2020-11-29,41
2020-12-06,37
2020-12-13,41
2020-12-20,31
2020-12-27,24
