Category: All categories

Week,Animal Crossing: (United States)
2020-01-05,2
2020-01-12,2
2020-01-19,2
2020-01-26,4
2020-02-02,5
2020-02-09,4
2020-02-16,7
2020-02-23,7
2020-03-01,8
2020-03-08,10
2020-03-15,46
2020-03-22,100
2020-03-29,89
2020-04-05,78
2020-04-12,71
2020-04-19,68
2020-04-26,69
2020-05-03,59
2020-05-10,53
2020-05-17,47
2020-05-24,41
2020-05-31,36
2020-06-07,31
2020-06-14,27
2020-06-21,25
2020-06-28,30
2020-07-05,27
2020-07-12,22
2020-07-19,19
2020-07-26,19
2020-08-02,18
2020-08-09,15
2020-08-16,13
2020-08-23,12
2020-08-30,13
2020-09-06,11
2020-09-13,10
2020-09-20,10
2020-09-27,13
2020-10-04,12
2020-10-11,11
2020-10-18,10
2020-10-25,10
2020-11-01,9
2020-11-08,9
2020-11-15,11
2020-11-22,14
2020-11-29,11
2020-12-06,11
2020-12-13,11
2020-12-20,14
2020-12-27,18
