Category: All categories

Week,Zoom: (United States)
2020-01-05,4
2020-01-12,5
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,5
2020-03-01,6
2020-03-08,13
2020-03-15,47
2020-03-22,90
2020-03-29,100
2020-04-05,84
2020-04-12,72
2020-04-19,68
2020-04-26,60
2020-05-03,50
2020-05-10,48
2020-05-17,42
2020-05-24,33
2020-05-31,33
2020-06-07,28
2020-06-14,27
2020-06-21,25
2020-06-28,21
2020-07-05,24
2020-07-12,24
2020-07-19,25
2020-07-26,25
2020-08-02,28
2020-08-09,37
2020-08-16,50
2020-08-23,56
2020-08-30,55
2020-09-06,50
2020-09-13,50
2020-09-20,43
2020-09-27,35
2020-10-04,32
2020-10-11,25
2020-10-18,29
2020-10-25,27
2020-11-01,19
2020-11-08,25
2020-11-15,28
2020-11-22,20
2020-11-29,26
2020-12-06,26
2020-12-13,26
2020-12-20,19
2020-12-27,14
